Game,Form, Count ,Price,IdealProfit,URL
Beat the Clock 599,7724H, 960 ,$1,$361.00,
Black Jack 175,6916M, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Black Jack 200,6779P, 300 ,$1,$100.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Black Jack 280,6917M, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Black Jack 400,6918M, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Black Jack 599,6919M, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Black Jack 700,6268P," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Bubble Gum 100,6906V, 150 ,$1,$50.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 175,6747U, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 280,6748U, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 325,6771V, 500 ,$1,$175.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 400,6749U, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 599,6750U, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 700,6751U," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chase Your Dreams 200,, 300 ,$1,$100.00,
Chocolate 100,6906V, 150 ,$1,$50.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 175,6747U, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 280,6748U, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 325,6771V, 500 ,$1,$175.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 400,6749U, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 599,6750U, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 700,6751U," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Claw Enforcement 175,, 280 ,$1,$105.00,
Cotton Candy 100,6906V, 150 ,$1,$50.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Cotton Candy 175,6747U, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Cotton Candy 280,6748U, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Cotton Candy 325,6771V, 500 ,$1,$175.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Cotton Candy 400,6749U, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Cotton Candy 599,6750U, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Cotton Candy 700,6751U," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Crap Shoot 175,6916M, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Crap Shoot 200,6779P, 300 ,$1,$100.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Crap Shoot 280,6917M, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Crap Shoot 400,6918M, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Crap Shoot 599,6919M, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Crap Shoot 700,6268P," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Dabbin' Dachsund 200,, 300 ,$1,$100.00,
Dabbin' Me Ma 200,, 300 ,$1,$100.00,
Day Dabbin' 200,, 300 ,$1,$100.00,
Dig Life 200,, 300 ,$1,$100.00,
Double Bubble 140,5595Y, 200 ,$1,$60.00,https://www.arrowinternational.com/db/grafix/AIPDF/C5594Y.PDF
Double Bubble 175,5596Y, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C5594Y.PDF
Double Bubble 280,5597Y, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C5594Y.PDF
Double Bubble 425,5102Z, 600 ,$1,$175.00,https://www.arrowinternational.com/db/grafix/AIPDF/C5594Y.PDF
Dumbo Dab 175,6219H, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Fire Fighters 140,, 225 ,$1,$85.00,
Fire Fighters 599,5991FF, 960 ,$1,$361.00,
Flamingo Bingo 140,, 230 ,$1,$90.00,
Funky Chicken 280,, 445 ,$1,$165.00,
Gator Dab 175,6219H, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Gator Dab 280,6220H, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Gator Dab 280,6220H, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Gator Dab 400,6221H, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Gator Dab 400,6221H, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Gator Dab 700,6222H," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Gator Dab 700,6222H," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Gotcha 140,783Q, 200 ,$1,$60.00,https://www.arrowinternational.com/db/grafix/AIPDF/C785Q.PDF
Gotcha 280,784Q, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C785Q.PDF
Gotcha 425,785Q, 600 ,$1,$175.00,https://www.arrowinternational.com/db/grafix/AIPDF/C785Q.PDF
Gum Drops 100,6906V, 150 ,$1,$50.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Gum Drops 175,6747U, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Gum Drops 280,6748U, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Gum Drops 325,6771V, 500 ,$1,$175.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Gum Drops 400,6749U, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Gum Drops 599,6750U, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Gum Drops 700,6751U," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Hiss & Make Up 350,, 550 ,$1,$200.00,
Jack 280,, 400 ,$1,$120.00,
Kick Grass 200,, 300 ,$1,$100.00,
Life Happens 599,7726H, 960 ,$1,$361.00,
Lion Dab 175,6219H, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Lion Dab 280,6220H, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Lion Dab 400,6221H, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Lion Dab 700,6222H," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Lollipops 100,6906V, 150 ,$1,$50.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Lollipops 175,6747U, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Lollipops 280,6748U, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Lollipops 325,6771V, 500 ,$1,$175.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Lollipops 400,6749U, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Lollipops 599,6750U, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Lollipops 700,6751U," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Luckies 100,55886, 140 ,$1,$40.00,https://www.arrowinternational.com/db/grafix/AIPDF/C55888.PDF
Luckies 200,55887, 300 ,$1,$100.00,https://www.arrowinternational.com/db/grafix/AIPDF/C55888.PDF
Luckies 350,55888, 550 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C55888.PDF
Luckies 500,55889, 770 ,$1,$270.00,https://www.arrowinternational.com/db/grafix/AIPDF/C55888.PDF
Mewsical 350,, 550 ,$1,$200.00,
Monkey in the Middle 210,, 300 ,$1,$90.00,
Monkey See Monkey Do 200,, 300 ,$1,$100.00,
Monopoly Chance It 140,7973H, 230 ,$1,$90.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7972H.PDF
Monopoly Chance It 280,7975H, 440 ,$1,$160.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7972H.PDF
Monopoly Chance It 400,7976H, 660 ,$1,$260.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7972H.PDF
Monopoly Chance It 599,7177J, 960 ,$1,$361.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7972H.PDF
Mouse Keeping 350,, 550 ,$1,$200.00,
Panda Dab 175,6219H, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Panda Dab 280,6220H, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Panda Dab 400,6221H, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Panda Dab 700,6222H," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Parrot Party 140,, 230 ,$1,$90.00,
Parrot Party 280,, 445 ,$1,$165.00,
Patriot Bingo 140,5096W, 200 ,$1,$60.00,https://www.arrowinternational.com/db/grafix/AIPDF/C5097W.PDF
Patriot Bingo 280,5097W, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C5097W.PDF
Patriot Bingo 599,5340W, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C5097W.PDF
Paws for the Cause 200,, 300 ,$1,$100.00,
Pot of Gold 140,7319D, 230 ,$1,$90.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7319D.PDF
Pot of Gold 280,7320D, 440 ,$1,$160.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7319D.PDF
Pot of Gold 400,7321D, 660 ,$1,$260.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7319D.PDF
Purrsuasion 350,, 550 ,$1,$200.00,
Quad Runner 100,7357M, 150 ,$1,$50.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF
Quad Runner 130,7358M, 200 ,$1,$70.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF
Quad Runner 140,7359M, 200 ,$1,$60.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF
Quad Runner 165,7361M, 250 ,$1,$85.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF
Quad Runner 175,7360M, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF
Quad Runner 210,, 325 ,$1,$115.00,
Quad Runner 260,7363M, 400 ,$1,$140.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF
Quad Runner 280,7362M, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF
Quad Runner 390,7364M, 600 ,$1,$210.00,https://www.arrowinternational.com/db/grafix/AIPDF/C7357M.PDF
Quad Runner 500,, 775 ,$1,$275.00,
Race Horse Downs 250,354GA," 1,000 ",$1,$330.00,https://www.arrowinternational.com/db/grafix/AIPDF/C354GA.PDF
Race Horse Downs 521,353GA," 2,040 ",$1,$615.00,https://www.arrowinternational.com/db/grafix/AIPDF/C354GA.PDF
Red Hot Cardinals 140,, 230 ,$1,$90.00,
Rockin' Robin 140,7348J, 230 ,$1,$90.00,
Roulette 175,6916M, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Roulette 200,6779P, 300 ,$1,$100.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Roulette 280,6917M, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Roulette 400,6918M, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Roulette 599,6919M, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Roulette 700,6268P," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Shake it Off 200,, 300 ,$1,$100.00,
Slots 175,6916M, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Slots 200,6779P, 300 ,$1,$100.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Slots 280,6917M, 400 ,$1,$120.00,
Slots 400,6918M, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Slots 599,6919M, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Slots 700,6268P," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Smack Dab 270,, 450 ,$1,$180.00,
Small Ball 175,6916M, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Small Ball 200,6779P, 300 ,$1,$100.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Small Ball 280,6917M, 400 ,$1,$120.00,
Small Ball 400,6918M, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Small Ball 599,6919M, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Small Ball 700,6268P," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Snap Crackle Pop 270,, 450 ,$1,$180.00,
Stones 599,7728H, 960 ,$1,$361.00,
Tiger Dab 175,6219H, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Tiger Dab 280,6220H, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Tiger Dab 400,6221H, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Tiger Dab 700,6222H," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF
Triple Twist 110,6080J, 150 ,$1,$40.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6080J.PDF
Triple Twist 175,6081J, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6080J.PDF
Triple Twist 280,6082J, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6080J.PDF
Triple Twist 400,6083J, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6080J.PDF
Triple Twist 700,6084J," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6080J.PDF
